,principal component 1,principal component 2,artists
182,3.226587563,0.539298864,Frank Sinatra
183,-0.985953111,-0.408601898,Led Zeppelin
184,-0.947758085,3.818266128,Led Zeppelin
185,-0.651210948,1.298119963,Led Zeppelin
186,-0.690691806,1.680431499,Led Zeppelin
187,-0.651210948,1.298119963,Led Zeppelin
188,-2.498599289,-0.148638839,Led Zeppelin
189,0.553259449,-1.147891572,Johnny Cash
190,-0.309842701,-0.932650135,The Beatles
191,-1.507989137,-0.348398463,The Beatles
192,-1.624917916,-0.39028462,The Beatles
193,-2.541427176,-1.274852987,Bob Dylan
194,-2.20606712,0.490833372,The Rolling Stones
195,-2.554732935,-0.840811568,Bob Dylan
196,2.346343624,0.4070871,Frank Sinatra
197,-0.028059039,-0.391800213,Johnny Cash
198,-1.042455693,-1.417325084,Johnny Cash
199,-1.309494303,0.571363052,Johnny Cash
200,1.664093521,-0.36878182,Johnny Cash
201,-2.600139242,-2.162625592,Eminem
202,-2.826478162,0.520988542,Eminem
203,-2.036907243,1.541088293,Eminem
204,0.873910319,0.941247856,Led Zeppelin
205,-1.674716952,0.206001561,Led Zeppelin
206,-1.098805589,0.200869781,Led Zeppelin
207,-1.968685607,2.543876429,Led Zeppelin
208,-2.090933515,0.707097632,Led Zeppelin
209,-1.264646691,1.757909706,Drake
210,-2.533568406,-1.096371727,Drake
211,-1.64922063,-0.493569766,The Beach Boys
212,-0.156148364,-1.044204998,Drake
213,-2.099157981,-0.506330736,Drake
214,0.258741772,-0.003652814,The Beatles
215,-0.736300543,0.834928244,Drake
216,-1.544315935,0.665912583,Drake
217,-0.839404993,-0.124186482,Drake
218,-1.313350042,-1.172446252,Drake
219,-1.035157029,-2.016679481,Drake
220,-2.784625398,0.461188796,Eminem
221,-2.19806503,-0.55304855,Eminem
222,3.694325998,0.557750877,Frank Sinatra
223,-0.815482855,-0.415312533,Johnny Cash
224,3.490088909,0.811057502,Frank Sinatra
225,2.146357882,1.200624712,Frank Sinatra
226,-0.361583954,-2.216090187,Johnny Cash
227,2.418667402,1.315476142,Frank Sinatra
228,0.569955042,-1.625840572,Johnny Cash
229,-0.436163669,0.001306922,Johnny Cash
230,-0.04500008,-0.970338149,Johnny Cash
231,0.003660033,-1.298835964,Johnny Cash
232,2.866281336,1.406757636,Frank Sinatra
