principal component 1,principal component 2,year,popularity
-1.602086651,0.05948695,1963,69
1.821938097,-1.54041056,1963,64
1.116468159,-0.789758465,1963,62
-0.04238472,-0.794607166,1963,61
0.279604505,-1.632075229,1963,60
0.493415255,0.064192874,1963,59
0.746305287,-1.588504774,1963,59
-1.233510782,0.087849776,1963,59
-0.531348613,-1.036114883,1963,58
-1.116681252,-0.309972265,1963,58
-0.849126934,0.295158496,1963,57
-0.808218044,-0.242232611,1963,54
-0.783404332,-1.247314729,1963,51
-0.062965345,-1.097204498,1963,51
-1.212238869,1.29611728,1963,50
1.295083488,-1.142012763,1963,50
-1.928253489,-0.860724264,1964,68
1.134865507,-2.174969667,1964,68
-0.762319819,-0.571863402,1964,65
-1.742723163,0.048811416,1964,65
1.059723908,-1.776162865,1964,63
1.225603445,-1.820791553,1964,61
-0.92046154,-1.252810808,1964,61
-0.170204876,-1.851635145,1964,59
-1.25241188,-1.147133102,1964,59
-0.350455166,-0.505748015,1964,58
-1.180218407,1.221470232,1964,50
-2.282021731,0.659685361,1964,51
-0.126272001,-0.969031187,1964,51
-0.72993401,-0.332307455,1964,49
-1.496077702,-0.190032601,1964,49
2.877936812,-0.367209749,1965,77
0.983369302,-0.691232354,1965,73
-1.309039554,-0.503198801,1965,72
0.495062537,2.15E-05,1965,68
1.533849508,-1.198397428,1965,67
-2.130968058,0.835112544,1965,66
0.385417788,0.623786648,1965,65
-0.832805688,-0.211096058,1965,64
-1.361672929,-1.023459765,1965,65
-0.324923116,-1.10114951,1965,62
1.119263626,-1.979752452,1965,63
-0.271309703,-1.600751517,1965,61
-0.177130047,0.132588829,1965,60
-1.198835374,-0.384298853,1965,60
-1.503889433,-0.036351061,1965,59
-1.340024708,0.161124752,1965,59
-1.504891428,0.189983058,1965,53
-0.797177538,-1.005686239,1965,53
-0.308491736,-0.243106798,1965,54
-0.259298793,-0.280674307,1965,52
-0.977005117,-1.061808458,1965,52
-1.193720971,-0.54531821,1965,51
0.860135342,-1.149224418,1966,70
-0.090560666,-0.626849268,1966,65
